time_s,rpm,torque_nm,power_kw,fuel_kgh,cht_c,egt_c,eta_pct,phase,run_id,run_name
167.5,2234.3,172.69,40.404,11.144,68.25,472.7,30.354,cruise,0,Baseline
170.0,2243.5,165.55,38.895,10.825,68.62,472.4,30.082,cruise,0,Baseline
172.5,2282.3,157.92,37.743,10.813,68.93,470.2,29.222,cruise,0,Baseline
175.0,2329.7,154.24,37.628,10.698,69.19,469.3,29.447,cruise,0,Baseline
177.5,2335.4,150.83,36.887,10.597,69.46,467.7,29.143,cruise,0,Baseline
180.0,2381.9,143.61,35.82,10.534,69.41,465.9,28.468,cruise,0,Baseline
182.5,2415.4,139.97,35.403,10.566,69.19,464.5,28.051,cruise,0,Baseline
185.0,2457.4,136.82,35.209,10.516,69.03,463.9,28.03,cruise,0,Baseline
187.5,2478.5,135.21,35.093,10.806,68.86,462.4,27.188,cruise,0,Baseline
190.0,2493.3,130.47,34.066,10.426,68.55,460.5,27.354,cruise,0,Baseline
192.5,2515.8,132.84,34.998,10.666,68.53,458.7,27.472,cruise,0,Baseline
195.0,2537.7,132.26,35.146,10.747,68.43,458.3,27.378,cruise,0,Baseline
197.5,2573.8,137.38,37.027,11.158,68.44,458.5,27.782,cruise,0,Baseline
200.0,2570.2,136.67,36.785,11.232,68.67,459.2,27.418,cruise,0,Baseline
202.5,2584.8,142.89,38.677,11.544,69.04,460.3,28.049,cruise,0,Baseline
205.0,2602.0,149.16,40.642,11.817,69.66,463.6,28.795,cruise,0,Baseline
207.5,2605.2,150.61,41.09,11.927,70.26,464.3,28.842,cruise,0,Baseline
210.0,2609.5,155.84,42.585,12.217,71.04,466.9,29.182,cruise,0,Baseline
212.5,2602.6,163.77,44.635,12.753,71.95,471.0,29.301,cruise,0,Baseline
215.0,2613.1,170.15,46.56,12.855,73.14,474.8,30.324,cruise,0,Baseline
217.5,2605.4,175.22,47.806,12.961,74.3,478.6,30.881,cruise,0,Baseline
220.0,2615.4,185.32,50.756,13.539,75.72,483.9,31.386,cruise,0,Baseline
222.5,2601.4,195.62,53.292,14.064,77.34,489.1,31.723,cruise,0,Baseline
225.0,2583.2,198.12,53.594,14.303,78.69,494.7,31.37,cruise,0,Baseline
227.5,2576.2,204.99,55.3,14.286,80.26,501.9,32.408,cruise,0,Baseline
230.0,2549.7,209.63,55.973,14.497,81.77,507.6,32.325,cruise,0,Baseline
232.5,2545.1,218.13,58.136,15.29,83.47,512.3,31.833,cruise,0,Baseline
235.0,2513.8,220.1,57.941,14.774,84.86,516.4,32.834,cruise,0,Baseline
237.5,2497.2,224.71,58.762,15.193,86.52,520.6,32.381,cruise,0,Baseline
240.0,2454.2,232.95,59.868,15.387,88.04,525.7,32.575,cruise,0,Baseline
242.5,2444.8,231.11,59.17,15.113,89.23,528.5,32.777,cruise,0,Baseline
245.0,2397.5,236.64,59.412,14.901,90.3,531.1,33.38,cruise,0,Baseline
247.5,2366.1,238.06,58.985,15.024,91.37,534.1,32.87,cruise,0,Baseline
250.0,2354.6,235.05,57.956,14.678,92.25,535.9,33.057,cruise,0,Baseline
252.5,2319.4,234.13,56.867,14.233,92.87,536.1,33.449,cruise,0,Baseline
255.0,2300.4,234.44,56.478,14.172,93.47,535.6,33.364,cruise,0,Baseline
257.5,2291.7,226.73,54.411,13.891,93.71,533.7,32.794,cruise,0,Baseline
260.0,2231.6,221.66,51.799,13.344,93.72,531.0,32.498,cruise,0,Baseline
262.5,2204.8,215.08,49.66,13.01,93.35,526.6,31.956,cruise,0,Baseline
265.0,2185.0,212.15,48.542,12.715,92.94,524.0,31.963,cruise,0,Baseline
267.5,2160.7,208.74,47.233,12.326,92.5,520.1,32.081,cruise,0,Baseline
270.0,2128.1,201.0,44.794,11.857,91.96,516.1,31.627,cruise,0,Baseline
272.5,2103.4,190.2,41.894,11.342,90.76,511.7,30.923,cruise,0,Baseline
275.0,2089.6,183.23,40.095,10.92,89.5,506.6,30.74,cruise,0,Baseline
277.5,2066.8,176.79,38.264,10.791,88.08,499.8,29.686,cruise,0,Baseline
280.0,2032.3,171.38,36.475,10.415,86.72,494.1,29.32,cruise,0,Baseline
282.5,2025.1,163.68,34.711,10.026,85.06,488.4,28.984,cruise,0,Baseline
285.0,2011.8,158.23,33.335,9.81,83.43,481.6,28.449,cruise,0,Baseline
287.5,1988.9,152.66,31.796,9.506,81.8,474.8,28.003,cruise,0,Baseline
290.0,1992.7,146.4,30.549,9.357,80.05,468.8,27.333,cruise,0,Baseline
292.5,1974.7,142.62,29.493,9.256,78.31,462.2,26.678,cruise,0,Baseline
295.0,1988.9,139.68,29.093,9.11,76.72,458.2,26.737,cruise,0,Baseline
297.5,1979.8,136.6,28.32,9.12,75.0,451.9,25.998,cruise,0,Baseline
300.0,2005.9,140.02,29.412,9.368,73.61,448.1,26.285,climb,0,Baseline
302.5,2026.6,145.6,30.9,9.386,72.62,446.2,27.561,climb,0,Baseline
305.0,2059.3,146.63,31.621,9.568,71.84,445.1,27.669,climb,0,Baseline
307.5,2069.4,149.96,32.496,9.677,71.2,444.8,28.113,climb,0,Baseline
310.0,2107.8,151.73,33.49,10.057,70.58,445.3,27.88,climb,0,Baseline
312.5,2153.6,161.99,36.534,10.433,70.5,447.2,29.317,climb,0,Baseline
315.0,2160.7,164.28,37.171,10.567,70.62,450.0,29.449,climb,0,Baseline
317.5,2223.6,173.08,40.303,11.155,71.1,452.2,30.249,climb,0,Baseline
320.0,2232.0,186.02,43.48,11.88,71.85,457.3,30.64,climb,0,Baseline
322.5,2292.4,194.71,46.742,12.294,72.86,463.1,31.831,climb,0,Baseline
325.0,2312.7,202.43,49.025,12.604,74.22,469.9,32.565,climb,0,Baseline
327.5,2366.0,209.02,51.79,13.257,75.68,477.4,32.706,climb,0,Baseline
330.0,2397.4,221.54,55.619,14.234,77.43,485.3,32.713,climb,0,Baseline
332.5,2419.0,230.72,58.445,14.836,79.42,493.8,32.981,climb,0,Baseline
335.0,2485.4,242.93,63.227,15.989,82.04,504.8,33.106,climb,0,Baseline
337.5,2525.9,255.35,67.544,17.812,84.85,516.4,31.748,climb,0,Baseline
340.0,2549.3,259.89,69.38,17.957,87.75,526.7,32.347,climb,0,Baseline
342.5,2585.2,265.8,71.957,18.695,90.58,538.7,32.225,climb,0,Baseline
345.0,2623.7,272.05,74.746,19.645,93.65,550.6,31.854,climb,0,Baseline
347.5,2652.0,280.32,77.847,20.601,96.7,560.3,31.637,climb,0,Baseline
350.0,2708.0,285.01,80.822,21.903,99.91,571.4,30.893,climb,0,Baseline
352.5,2725.4,286.8,81.853,22.517,103.24,582.8,30.434,climb,0,Baseline
355.0,2762.5,291.81,84.419,23.65,106.45,592.9,29.884,climb,0,Baseline
357.5,2785.5,290.46,84.725,23.696,109.32,601.3,29.935,climb,0,Baseline
360.0,2815.4,294.86,86.931,25.062,112.26,609.6,29.04,climb,0,Baseline
362.5,2834.8,293.33,87.077,25.037,115.03,616.4,29.118,climb,0,Baseline
365.0,2883.6,290.68,87.777,25.242,117.75,622.9,29.114,climb,0,Baseline
367.5,2890.4,283.67,85.861,24.179,119.85,627.0,29.73,climb,0,Baseline
370.0,2919.6,280.65,85.806,24.816,121.66,631.3,28.948,climb,0,Baseline
372.5,2925.2,273.36,83.737,23.983,123.21,633.0,29.231,climb,0,Baseline
375.0,2930.2,265.98,81.615,23.153,124.41,633.2,29.512,climb,0,Baseline
377.5,2942.8,258.49,79.66,22.284,125.29,631.8,29.928,climb,0,Baseline
380.0,2946.3,248.42,76.647,21.629,125.85,629.5,29.669,climb,0,Baseline
382.5,2954.6,239.6,74.133,20.614,125.97,625.5,30.108,climb,0,Baseline
385.0,2950.1,235.34,72.704,20.677,125.95,621.7,29.438,climb,0,Baseline
387.5,2947.1,224.6,69.316,19.573,125.34,617.3,29.65,climb,0,Baseline
390.0,2929.4,216.81,66.511,18.734,124.63,611.4,29.724,climb,0,Baseline
392.5,2925.2,210.12,64.364,18.012,123.83,605.2,29.916,climb,0,Baseline
395.0,2936.8,196.9,60.555,17.216,122.51,597.6,29.447,climb,0,Baseline
397.5,2897.8,191.72,58.179,16.873,120.96,589.6,28.867,climb,0,Baseline
400.0,2875.5,187.39,56.426,16.255,119.31,581.6,29.062,climb,0,Baseline
402.5,2868.4,182.52,54.826,15.688,117.76,573.8,29.258,climb,0,Baseline
405.0,2855.8,176.75,52.858,15.39,115.83,566.6,28.754,climb,0,Baseline
407.5,2801.7,176.48,51.778,14.981,114.01,558.8,28.936,climb,0,Baseline
410.0,2786.7,172.98,50.48,14.274,112.23,552.8,29.608,climb,0,Baseline
412.5,2753.4,169.53,48.881,13.889,110.43,546.0,29.466,climb,0,Baseline
415.0,2711.7,170.76,48.49,13.611,108.61,539.5,29.825,climb,0,Baseline
417.5,2705.0,176.16,49.9,13.962,107.17,535.0,29.921,climb,0,Baseline
420.0,2664.9,178.63,49.849,13.568,105.79,531.0,30.758,climb,0,Baseline
422.5,2632.7,178.21,49.132,13.478,104.48,527.7,30.52,climb,0,Baseline
425.0,2591.1,190.08,51.577,13.593,103.53,525.8,31.766,climb,0,Baseline
427.5,2569.7,194.93,52.456,13.951,102.68,525.8,31.478,climb,0,Baseline
430.0,2526.6,203.6,53.87,14.099,102.17,525.5,31.988,climb,0,Baseline
432.5,2498.0,208.01,54.414,14.006,101.85,524.7,32.527,climb,0,Baseline
435.0,2456.6,216.59,55.717,14.329,101.54,525.7,32.554,climb,0,Baseline
437.5,2424.8,223.68,56.799,14.358,101.45,526.4,33.12,climb,0,Baseline
440.0,2421.0,239.95,60.835,15.407,101.95,530.6,33.058,climb,0,Baseline
442.5,2375.0,243.46,60.551,15.515,102.2,534.6,32.674,climb,0,Baseline
445.0,2357.1,255.75,63.129,16.139,102.87,539.3,32.748,climb,0,Baseline
447.5,2330.2,259.67,63.364,16.332,103.39,542.2,32.483,climb,0,Baseline
450.0,2326.9,272.57,66.417,17.164,104.45,546.9,32.396,max,0,Baseline
452.5,2326.9,279.3,68.057,18.02,105.73,553.3,31.62,max,0,Baseline
455.0,2339.4,291.25,71.349,19.251,107.28,559.9,31.029,max,0,Baseline
457.5,2332.0,302.17,73.792,20.067,108.79,566.7,30.787,max,0,Baseline
460.0,2336.7,304.59,74.533,20.177,110.36,573.6,30.926,max,0,Baseline
462.5,2343.2,314.72,77.226,21.496,112.07,581.8,30.078,max,0,Baseline
465.0,2361.3,317.26,78.451,22.412,113.79,588.9,29.306,max,0,Baseline
467.5,2365.1,316.97,78.504,22.371,115.52,594.2,29.379,max,0,Baseline
470.0,2373.0,318.99,79.269,22.413,116.92,599.3,29.609,max,0,Baseline
472.5,2376.8,318.48,79.269,22.761,118.44,603.8,29.157,max,0,Baseline
475.0,2384.4,317.21,79.205,22.858,119.73,606.9,29.01,max,0,Baseline
477.5,2425.9,312.74,79.449,22.397,121.08,609.3,29.699,max,0,Baseline
480.0,2446.8,307.34,78.75,21.829,122.12,611.7,30.204,max,0,Baseline
482.5,2458.9,302.38,77.861,21.605,122.89,612.6,30.171,max,0,Baseline
485.0,2491.2,293.89,76.67,21.079,123.55,613.1,30.451,max,0,Baseline
487.5,2521.3,285.45,75.368,20.387,124.04,613.0,30.951,max,0,Baseline
490.0,2551.7,279.32,74.638,19.642,124.33,613.7,31.814,max,0,Baseline
492.5,2584.3,272.09,73.635,19.511,124.52,611.8,31.596,max,0,Baseline
495.0,2604.0,257.88,70.322,18.295,124.2,608.7,32.18,max,0,Baseline
497.5,2658.7,251.48,70.018,18.235,123.72,605.9,32.147,max,0,Baseline
500.0,2667.4,240.85,67.275,17.409,123.23,602.2,32.353,max,0,Baseline
502.5,2725.7,231.21,65.995,17.433,122.61,598.7,31.694,max,0,Baseline
505.0,2760.0,226.42,65.441,17.309,121.92,594.5,31.653,max,0,Baseline
507.5,2802.2,215.95,63.37,17.264,121.03,589.5,30.731,max,0,Baseline
510.0,2850.8,213.15,63.634,17.53,120.33,584.9,30.39,max,0,Baseline
512.5,2885.3,202.81,61.277,17.352,119.26,580.0,29.565,max,0,Baseline
515.0,2896.9,200.52,60.831,16.966,118.2,576.5,30.017,max,0,Baseline
517.5,2928.7,195.94,60.094,17.245,117.18,572.7,29.174,max,0,Baseline
520.0,2989.9,192.89,60.394,17.946,116.41,569.1,28.175,max,0,Baseline
522.5,3006.4,194.97,61.382,18.232,115.58,567.0,28.186,max,0,Baseline
525.0,3049.7,194.29,62.049,18.759,115.14,565.8,27.692,max,0,Baseline
527.5,3089.5,198.02,64.065,19.423,114.81,566.3,27.615,max,0,Baseline
530.0,3093.9,200.29,64.891,20.161,114.55,566.6,26.947,max,0,Baseline
532.5,3116.1,203.07,66.265,20.61,114.71,567.8,26.917,max,0,Baseline
535.0,3164.0,211.09,69.943,21.942,115.17,570.0,26.687,max,0,Baseline
537.5,3183.4,218.53,72.85,22.234,115.83,574.1,27.432,max,0,Baseline
540.0,3199.0,228.41,76.517,23.863,116.97,581.3,26.845,max,0,Baseline
542.5,3217.3,233.51,78.673,25.056,118.41,586.5,26.287,max,0,Baseline
545.0,3220.5,244.67,82.515,26.119,120.21,594.3,26.449,max,0,Baseline
547.5,3222.9,251.13,84.756,26.529,121.99,602.5,26.747,max,0,Baseline
550.0,3241.8,265.9,90.27,29.639,124.37,612.4,25.498,max,0,Baseline
552.5,3235.9,272.46,92.326,30.488,126.84,621.8,25.353,max,0,Baseline
555.0,3227.8,280.83,94.925,30.989,129.3,631.8,25.646,max,0,Baseline
557.5,3244.5,293.74,99.803,33.883,132.24,643.2,24.66,max,0,Baseline
560.0,3230.7,304.89,103.15,35.497,135.32,654.8,24.328,max,0,Baseline
562.5,3223.9,307.68,103.875,36.378,138.18,664.0,23.906,max,0,Baseline
565.0,3195.3,315.66,105.624,36.074,141.04,673.9,24.514,max,0,Baseline
567.5,3180.9,322.38,107.385,37.168,143.93,682.9,24.189,max,0,Baseline
570.0,3156.8,326.43,107.912,37.887,146.65,691.1,23.846,max,0,Baseline
572.5,3134.6,332.97,109.298,38.675,149.26,699.3,23.66,max,0,Baseline
575.0,3119.5,332.75,108.699,39.525,151.61,706.2,23.025,max,0,Baseline
577.5,3081.5,333.65,107.666,37.319,153.79,711.6,24.154,max,0,Baseline
580.0,3062.6,335.56,107.619,37.621,155.71,715.3,23.949,max,0,Baseline
582.5,3030.3,330.77,104.965,35.392,157.21,717.8,24.83,max,0,Baseline
585.0,3013.6,329.65,104.033,34.624,158.51,719.4,25.155,max,0,Baseline
587.5,2944.6,322.06,99.307,31.868,159.08,718.1,26.089,max,0,Baseline
590.0,2931.6,315.58,96.88,30.858,159.47,715.6,26.285,max,0,Baseline
592.5,2885.4,307.26,92.838,27.847,159.05,710.2,27.912,max,0,Baseline
595.0,2849.4,306.63,91.495,27.421,158.65,704.8,27.935,max,0,Baseline
597.5,2798.2,293.48,86.0,24.554,157.52,697.6,29.323,max,0,Baseline
0.0,987.1,33.8,3.494,2.675,1.79,313.4,10.934,idle,1,Cold day
2.5,1011.6,33.01,3.497,2.672,1.66,312.5,10.958,idle,1,Cold day
5.0,1012.1,35.78,3.792,2.833,1.77,311.9,11.207,idle,1,Cold day
7.5,1020.8,36.93,3.948,2.857,1.6,311.0,11.569,idle,1,Cold day
10.0,1013.3,33.42,3.547,2.603,1.56,309.5,11.406,idle,1,Cold day
12.5,1027.0,34.67,3.728,2.72,1.37,309.2,11.478,idle,1,Cold day
15.0,1039.9,34.22,3.726,2.663,1.47,308.8,11.716,idle,1,Cold day
17.5,1052.2,37.2,4.099,3.052,1.4,309.4,11.245,idle,1,Cold day
20.0,1055.3,38.52,4.257,2.943,1.38,308.8,12.111,idle,1,Cold day
22.5,1045.6,36.02,3.944,2.904,1.42,309.8,11.37,idle,1,Cold day
25.0,1044.4,32.65,3.571,2.612,1.44,309.8,11.447,idle,1,Cold day
27.5,1036.9,35.16,3.818,2.759,1.27,309.6,11.585,idle,1,Cold day
30.0,1046.9,27.95,3.064,2.308,1.09,308.7,11.113,idle,1,Cold day
32.5,1037.1,32.62,3.542,2.65,0.88,308.2,11.191,idle,1,Cold day
35.0,1041.3,26.87,2.93,2.213,0.77,307.2,11.083,idle,1,Cold day
37.5,1047.4,21.13,2.318,1.736,0.57,306.4,11.178,idle,1,Cold day
40.0,1023.2,30.49,3.267,2.355,0.47,306.6,11.614,idle,1,Cold day
42.5,1001.3,26.85,2.815,2.078,0.3,306.3,11.344,idle,1,Cold day
45.0,999.6,20.18,2.112,1.667,0.08,305.0,10.609,idle,1,Cold day
47.5,984.8,21.2,2.186,1.721,-0.14,304.6,10.636,idle,1,Cold day
50.0,977.9,19.15,1.961,1.565,-0.25,303.7,10.488,idle,1,Cold day
52.5,992.8,18.63,1.936,1.48,-0.26,303.6,10.951,idle,1,Cold day
55.0,971.4,14.45,1.47,1.236,-0.65,304.3,9.952,idle,1,Cold day
57.5,942.8,15.21,1.502,1.161,-0.83,304.1,10.833,idle,1,Cold day
60.0,953.1,16.86,1.683,1.352,-1.01,303.5,10.421,idle,1,Cold day
62.5,947.5,15.92,1.58,1.288,-1.1,302.2,10.272,idle,1,Cold day
65.0,919.4,17.63,1.698,1.348,-1.3,301.2,10.541,idle,1,Cold day
67.5,904.4,15.37,1.455,1.149,-1.44,300.1,10.607,idle,1,Cold day
70.0,896.0,20.09,1.885,1.501,-1.61,300.8,10.518,idle,1,Cold day
72.5,890.5,14.36,1.339,1.066,-1.66,300.3,10.52,idle,1,Cold day
75.0,882.7,16.91,1.563,1.272,-1.73,300.4,10.292,idle,1,Cold day
77.5,877.1,13.35,1.226,0.979,-1.86,299.9,10.484,idle,1,Cold day
80.0,866.8,15.64,1.42,1.13,-1.91,300.1,10.516,idle,1,Cold day
82.5,856.5,21.93,1.967,1.604,-1.95,301.3,10.266,idle,1,Cold day
85.0,848.8,18.64,1.657,1.31,-2.15,300.9,10.59,idle,1,Cold day
87.5,833.1,22.94,2.002,1.631,-2.09,300.9,10.272,idle,1,Cold day
90.0,930.6,38.73,3.774,2.801,-1.86,301.7,11.279,cruise,1,Cold day
92.5,1050.0,53.33,5.864,3.984,-1.44,304.6,12.322,cruise,1,Cold day
95.0,1147.9,70.87,8.519,5.056,-0.63,307.4,14.108,cruise,1,Cold day
97.5,1224.2,86.21,11.053,5.804,0.43,311.2,15.944,cruise,1,Cold day
100.0,1311.9,101.38,13.928,6.823,1.51,315.8,17.091,cruise,1,Cold day
102.5,1366.9,118.31,16.934,7.327,2.9,321.5,19.35,cruise,1,Cold day
105.0,1422.9,131.77,19.635,7.914,4.71,329.1,20.771,cruise,1,Cold day
107.5,1503.5,142.07,22.369,8.366,6.68,338.3,22.384,cruise,1,Cold day
110.0,1548.8,153.15,24.839,9.082,8.58,345.3,22.898,cruise,1,Cold day
112.5,1594.3,166.14,27.737,9.337,10.62,354.2,24.87,cruise,1,Cold day
115.0,1648.9,174.76,30.177,9.621,12.83,362.7,26.261,cruise,1,Cold day
117.5,1696.0,185.1,32.876,10.216,15.2,370.6,26.942,cruise,1,Cold day
120.0,1733.3,195.09,35.41,10.556,17.57,379.3,28.084,cruise,1,Cold day
122.5,1748.7,196.81,36.041,10.933,19.98,387.1,27.6,cruise,1,Cold day
125.0,1809.4,199.0,37.705,10.766,22.26,394.4,29.321,cruise,1,Cold day
127.5,1854.0,201.28,39.078,11.088,24.53,403.0,29.507,cruise,1,Cold day
130.0,1890.8,201.13,39.825,10.983,26.91,408.4,30.358,cruise,1,Cold day
132.5,1944.6,200.98,40.926,11.392,29.07,415.0,30.077,cruise,1,Cold day
135.0,1996.4,199.53,41.715,11.174,31.21,421.0,31.254,cruise,1,Cold day
137.5,2021.4,198.42,42.001,11.292,33.28,425.7,31.141,cruise,1,Cold day
140.0,2056.5,195.06,42.008,11.134,35.2,430.2,31.587,cruise,1,Cold day
142.5,2129.6,193.29,43.105,11.465,36.99,435.0,31.476,cruise,1,Cold day
145.0,2145.9,186.23,41.848,11.192,38.52,438.0,31.305,cruise,1,Cold day
147.5,2178.8,181.35,41.376,10.806,39.8,440.4,32.056,cruise,1,Cold day
150.0,2233.6,173.69,40.625,11.015,41.13,442.2,30.879,cruise,1,Cold day
152.5,2274.8,173.63,41.361,11.155,42.33,442.5,31.041,cruise,1,Cold day
155.0,2301.9,165.58,39.912,10.898,43.1,444.1,30.661,cruise,1,Cold day
157.5,2354.1,162.53,40.067,11.076,43.93,445.9,30.285,cruise,1,Cold day
160.0,2377.4,155.26,38.653,10.652,44.6,446.0,30.38,cruise,1,Cold day
162.5,2407.5,151.83,38.279,10.592,45.15,445.8,30.255,cruise,1,Cold day
165.0,2451.4,144.14,37.003,10.748,45.64,443.4,28.822,cruise,1,Cold day
167.5,2488.3,142.59,37.154,10.982,46.06,442.3,28.323,cruise,1,Cold day
170.0,2503.1,143.9,37.719,10.784,46.33,441.3,29.284,cruise,1,Cold day
172.5,2539.5,134.27,35.707,10.569,46.39,439.3,28.283,cruise,1,Cold day
175.0,2559.6,138.25,37.058,10.879,46.48,439.4,28.518,cruise,1,Cold day
177.5,2610.6,139.48,38.13,11.18,46.84,439.0,28.553,cruise,1,Cold day
180.0,2594.5,138.1,37.521,11.267,47.09,438.8,27.881,cruise,1,Cold day
182.5,2631.8,140.97,38.851,11.533,47.72,438.2,28.203,cruise,1,Cold day
185.0,2631.0,145.13,39.987,11.866,48.18,439.5,28.214,cruise,1,Cold day
187.5,2641.0,145.28,40.178,11.94,48.42,440.8,28.172,cruise,1,Cold day
190.0,2657.2,152.33,42.387,12.064,49.04,442.7,29.416,cruise,1,Cold day
192.5,2663.6,155.34,43.329,12.452,49.79,444.9,29.133,cruise,1,Cold day
195.0,2669.1,161.98,45.276,12.425,50.57,449.4,30.508,cruise,1,Cold day
197.5,2658.5,168.87,47.012,12.944,51.53,452.3,30.406,cruise,1,Cold day
200.0,2645.0,176.98,49.021,13.323,52.7,456.1,30.804,cruise,1,Cold day
